Episode,Total_Red_Reward,Total_Blue_Reward,Red_Territories,Blue_Territories
1,294.0,324.0,50,51
2,302.0,295.0,53,56
3,268.0,319.0,39,54
4,313.0,311.0,42,34
5,319.0,324.0,49,37
6,261.0,310.0,38,37
7,270.0,339.0,45,40
8,336.0,321.0,53,63
9,331.0,313.0,40,60
10,290.0,319.0,43,57
11,307.0,331.0,59,51
12,316.0,306.0,57,49
13,300.0,312.0,30,56
14,307.0,289.0,53,44
15,315.0,323.0,51,47
16,295.0,284.0,43,38
17,314.0,319.0,59,41
18,300.0,335.0,51,34
19,324.0,296.0,46,44
20,277.0,276.0,46,40
21,309.0,314.0,40,53
22,307.0,316.0,36,54
23,305.0,310.0,56,49
24,319.0,311.0,39,60
25,290.0,286.0,61,44
26,314.0,303.0,50,36
27,278.0,294.0,49,49
28,319.0,309.0,47,49
29,323.0,280.0,53,27
30,308.0,272.0,48,37
31,315.0,324.0,35,54
32,301.0,328.0,49,49
33,326.0,296.0,67,36
34,303.0,322.0,51,39
35,327.0,325.0,59,47
36,292.0,307.0,40,65
37,260.0,320.0,34,48
38,285.0,285.0,48,34
39,292.0,342.0,48,49
40,301.0,318.0,39,62
41,331.0,294.0,52,46
42,283.0,289.0,44,52
43,304.0,323.0,43,55
44,296.0,293.0,41,64
45,288.0,305.0,61,44
46,319.0,326.0,63,45
47,318.0,309.0,59,45
48,288.0,285.0,44,54
49,300.0,315.0,58,50
50,289.0,237.0,46,33
51,286.0,323.0,51,58
52,328.0,292.0,53,40
53,269.0,306.0,45,39
54,312.0,319.0,66,31
55,325.0,313.0,49,38
56,299.0,324.0,36,60
57,315.0,345.0,56,58
58,326.0,339.0,50,33
59,302.0,287.0,49,37
60,312.0,328.0,34,52
61,279.0,316.0,56,55
62,291.0,321.0,38,62
63,331.0,325.0,47,66
64,295.0,317.0,53,30
65,318.0,315.0,47,48
66,296.0,326.0,42,53
67,284.0,293.0,59,36
68,285.0,322.0,54,36
69,284.0,293.0,43,53
70,260.0,310.0,48,50
71,280.0,303.0,52,37
72,283.0,317.0,30,70
73,295.0,302.0,40,68
74,282.0,318.0,43,42
75,308.0,319.0,40,65
76,278.0,307.0,45,54
77,304.0,322.0,55,57
78,293.0,304.0,56,40
79,314.0,310.0,81,24
80,301.0,327.0,57,35
81,302.0,313.0,44,66
82,298.0,262.0,49,46
83,308.0,322.0,43,54
84,306.0,302.0,45,41
85,314.0,307.0,50,47
86,297.0,305.0,47,51
87,319.0,308.0,59,46
88,350.0,352.0,33,58
89,306.0,339.0,53,52
90,314.0,300.0,55,49
91,298.0,291.0,47,43
92,309.0,305.0,59,46
93,292.0,295.0,47,34
94,291.0,290.0,45,40
95,288.0,302.0,59,49
96,307.0,313.0,63,35
97,328.0,301.0,47,47
98,316.0,292.0,60,35
99,310.0,293.0,48,46
100,292.0,357.0,51,57
