Episode,Total_Red_Reward,Total_Blue_Reward,Red_Territories,Blue_Territories
1,44.199999999999875,43.79999999999994,62,49
2,10.40000000000002,80.70000000000005,29,56
3,64.19999999999993,55.59999999999995,55,55
4,26.899999999999952,64.9999999999999,40,53
5,28.69999999999996,53.099999999999916,48,41
6,28.4,43.29999999999992,78,36
7,35.39999999999996,39.09999999999998,71,49
8,39.8999999999999,36.69999999999997,46,50
9,41.99999999999996,40.399999999999885,64,52
10,24.90000000000001,36.499999999999986,48,44
11,86.59999999999995,6.100000000000017,60,48
12,26.69999999999996,60.89999999999995,32,64
13,18.299999999999994,77.8999999999999,20,80
14,50.39999999999994,35.099999999999916,46,47
15,30.29999999999996,61.19999999999991,38,71
16,58.599999999999916,50.29999999999992,70,41
17,67.29999999999997,28.99999999999999,76,45
18,32.499999999999964,55.09999999999995,55,58
19,61.19999999999997,36.19999999999997,45,50
20,62.50000000000005,26.40000000000001,56,41
21,32.999999999999964,59.19999999999987,46,55
22,43.599999999999895,57.79999999999981,49,49
23,26.69999999999998,26.599999999999962,46,29
24,52.69999999999995,30.799999999999933,59,52
25,63.49999999999986,30.39999999999999,55,57
26,27.199999999999932,86.70000000000006,39,70
27,76.40000000000005,40.49999999999992,52,58
28,29.99999999999997,57.79999999999995,35,65
29,27.49999999999999,56.59999999999981,50,42
30,69.29999999999987,50.09999999999986,62,63
